"account","n_res","n_oth","yrs_res_all","yrs_oth_all","yrs_res_min","yrs_oth_min","yrs_res_max","yrs_oth_max"
"0051820000005",1,0,"2014",NA,2014,NA,2014,NA
"0051900000007",1,0,"2010",NA,2010,NA,2010,NA
"0051940000002",1,0,"2015",NA,2015,NA,2015,NA
"0051990000002",1,0,"2009",NA,2009,NA,2009,NA
"0051990000011",1,0,"2011",NA,2011,NA,2011,NA
"0052000000008",1,0,"2015",NA,2015,NA,2015,NA
"0052010000013",1,0,"2010",NA,2010,NA,2010,NA
"0052010000014",1,0,"2010",NA,2010,NA,2010,NA
"0052090000002",0,1,NA,"2014",NA,2014,NA,2014
"0052240000001",0,1,NA,"2014",NA,2014,NA,2014
"0052240000015",1,0,"2007",NA,2007,NA,2007,NA
"0052250000016",1,0,"2014",NA,2014,NA,2014,NA
"0052270000008",0,1,NA,"2010",NA,2010,NA,2010
"0052280000005",0,4,NA,"2008",NA,2008,NA,2008
"0052280000015",0,4,NA,"2008",NA,2008,NA,2008
"0052310000006",1,0,"2010",NA,2010,NA,2010,NA
"0052320000004",1,0,"2013",NA,2013,NA,2013,NA
"0052320000015",1,0,"2007",NA,2007,NA,2007,NA
"0052350000004",0,1,NA,"2010",NA,2010,NA,2010
"0060030000031",0,1,NA,"2013",NA,2013,NA,2013
"0060140000018",1,0,"2014",NA,2014,NA,2014,NA
"0060140000019",1,0,"2014",NA,2014,NA,2014,NA
"0060230000001",1,0,"2011",NA,2011,NA,2011,NA
"0060320000005",1,0,"2016",NA,2016,NA,2016,NA
"0060340000003",2,0,"2010, 2013",NA,2010,NA,2013,NA
"0060570000002",1,0,"2016",NA,2016,NA,2016,NA
"0060580000006",1,0,"2016",NA,2016,NA,2016,NA
"0060900030015",0,1,NA,"2010",NA,2010,NA,2010
"0060970000003",1,0,"2013",NA,2013,NA,2013,NA
"0061100000010",1,0,"2011",NA,2011,NA,2011,NA
"0061110000032",1,0,"2012",NA,2012,NA,2012,NA
"0061120000010",2,0,"2010",NA,2010,NA,2010,NA
"0061120000039",1,0,"2010",NA,2010,NA,2010,NA
"0061130000025",1,0,"2015",NA,2015,NA,2015,NA
"0061140000031",1,0,"2007",NA,2007,NA,2007,NA
"0061140000051",1,0,"2005",NA,2005,NA,2005,NA
"0061170000014",2,0,"2008, 2009",NA,2008,NA,2009,NA
"0061230000009",1,0,"2005",NA,2005,NA,2005,NA
"0061230000019",1,0,"2013",NA,2013,NA,2013,NA
"0061320000010",1,0,"2015",NA,2015,NA,2015,NA
"0061380000013",1,0,"2015",NA,2015,NA,2015,NA
"0061540000011",1,0,"2011",NA,2011,NA,2011,NA
"0061580000026",1,0,"2008",NA,2008,NA,2008,NA
"0061590000015",1,0,"2006",NA,2006,NA,2006,NA
"0061590000030",1,0,"2013",NA,2013,NA,2013,NA
"0061640740003",1,0,"2013",NA,2013,NA,2013,NA
"0061650750037",1,0,"2008",NA,2008,NA,2008,NA
"0061750000006",1,0,"2012",NA,2012,NA,2012,NA
"0061770000006",1,0,"2013",NA,2013,NA,2013,NA
"0061820000002",1,0,"2007",NA,2007,NA,2007,NA
"0061820000006",1,0,"2009",NA,2009,NA,2009,NA
"0061860000001",1,0,"2010",NA,2010,NA,2010,NA
"0061860000016",1,0,"2008",NA,2008,NA,2008,NA
"0061860000027",1,0,"2005",NA,2005,NA,2005,NA
"0061860000036",1,0,"2006",NA,2006,NA,2006,NA
"0070020000010",1,0,"2012",NA,2012,NA,2012,NA
"0070020000012",1,0,"2014",NA,2014,NA,2014,NA
"0070020000017",1,0,"2005",NA,2005,NA,2005,NA
