,account,permitID,agencyID,permitStatus,desc,stateClass,permitType,propertyType,issueDate,year,siteNo,sitePrefix,siteStreet,siteType,siteSuffix,siteApt
,account,permitID,ERROR: KEY NOT FOUND,ERROR: KEY NOT FOUND,desc,ERROR: KEY NOT FOUND,permitTypeDesc,ERROR: KEY NOT FOUND,issueDate,year,siteNo,sitePrefix,siteStreet,siteType,siteSuffix,siteApt
12928,700530140018,1125674,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,04/10/2007,2008,9414,NA,GRADY,NA,ST,NA
12930,700530160021,1396592,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,04/22/2014,2015,9441,NA,BERTWOOD,NA,ST,NA
12931,700530160037,1307940,CITY OF HOUSTON,Complete,DEMO OF SHED ONLY/NO SEWER INVOLVED,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,04/30/2012,2013,9213,NA,BERTWOOD,NA,ST,NA
12933,700540030003,1066501,CITY OF HOUSTON,Complete,DEMO GAR,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,11/20/2006,2008,9409,NA,HEATHERSIDE,NA,ST,NA
12934,700540180008,1027892,CITY OF HOUSTON,Complete,RESIDENTIAL REPAIRS PER SPEC. LIST 1-1-5-R3-B 2003,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,05/23/2006,2008,9817,NA,PEACHTREE,NA,ST,NA
12935,700540240007,1373752,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,10/11/2013,2014,5110,NA,ANTHA,NA,ST,NA
12937,700550020008,1414013,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,08/13/2014,2015,2123,NA,ELGIN,NA,ST,NA
12946,700710110011,1318529,CITY OF HOUSTON,Complete,DEMO RES / NO SEWER DISC (GARAGE ONLY),ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,07/19/2012,2013,7518,NA,DIXIE,NA,DR,NA
12949,700720230019,1297121,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,01/31/2012,2013,7519,NA,VISTA VERDE,NA,ST,NA
12950,700770010002,1126788,CITY OF HOUSTON,Complete,DEMO M/H,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,08/21/2007,2008,1019,NA,SHERWOOD FOREST,NA,ST,NA
